"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Flensburg, Kreisfreie Stadt",0,6.3,5.6,1.4,18.3,9.6,23.5
"Kiel, Landeshauptstadt, Kreisfreie Stadt",0.1,15.6,13.6,4.8,40.4,32.3,75.4
"Lübeck, Hansestadt, Kreisfreie Stadt",0.3,17.1,15.6,5.3,32.9,23.2,45.1
"Neumünster, Kreisfreie Stadt",0.5,6.2,5.4,2.9,16.1,8.2,14.9
"Dithmarschen, Landkreis",3.4,8.3,7.5,4.6,16.5,6.4,19.2
"Herzogtum Lauenburg, Landkreis",2.2,10.3,9.3,4.7,18.2,9.1,23.7
"Nordfriesland, Landkreis",3.9,8.8,7.3,6.9,29.1,10.4,29.9
"Ostholstein, Landkreis",2.7,9.2,7.9,5.2,27.6,10.8,33.6
"Pinneberg, Landkreis",3.4,23.6,21.4,8.3,39,18,33.1
"Plön, Landkreis",1.8,4.2,3.9,3.7,11.5,5.5,16.1
"Rendsburg-Eckernförde, Landkreis",4.4,12.6,10.9,8.9,30,13.7,43.4
"Schleswig-Flensburg, Landkreis",4.4,8.6,7.6,6.5,23.2,10.4,29.4
"Segeberg, Landkreis",2.7,20.7,19.3,8,36.6,19.2,33.7
"Steinburg, Landkreis",2.6,9,7.5,4,11.9,8.6,18.7
"Stormarn, Landkreis",1.8,20.5,19.7,7,35.9,17.5,28.2
"Hamburg",2.2,115.6,102.7,37.8,394.1,307.4,346.3
"Braunschweig, Kreisfreie Stadt",0.2,24.1,21.9,5.5,39.1,40,52.7
"Salzgitter, Kreisfreie Stadt",0.3,26.2,24.7,1.7,10.5,5.8,13.2
"Wolfsburg, Kreisfreie Stadt",0.2,66.2,65.2,2.4,18.1,22.3,20.1
"Gifhorn, Landkreis",1.9,7.8,7.3,4.6,13.3,11,19.4
"Goslar, Landkreis",0.8,10.9,9.7,3.1,16.7,7.5,23.1
"Helmstedt, Landkreis",0.8,4.7,3.5,1.9,6.9,3.4,12.3
"Northeim, Landkreis",2.8,13.2,12.6,3.5,13.3,8.3,19.3
"Peine, Landkreis",1,7.9,6.8,3.1,11.7,6.3,15
"Wolfenbüttel, Landkreis",1.2,4.9,3.9,2.6,7.7,4.7,15.1
"Göttingen, Landkreis",1.8,28.3,26.6,7.5,38.7,24.7,73.4
"Region Hannover, Landkreis",3.9,83.7,74.2,27.9,178.1,139.8,226.4
"Hannover, Landeshauptstadt",0.2,50.8,43.7,10.2,94.6,99.7,159.4
"Diepholz, Landkreis",4.9,17.5,16.1,6.8,29.1,12.2,27
"Hameln-Pyrmont, Landkreis",1.4,12.8,11.7,3.9,16,10.9,25
"Hildesheim, Landkreis",1.9,23.4,21.9,7.3,30.9,14.3,45.6
"Holzminden, Landkreis",0.7,9.4,8.9,1.9,6.5,3,8.5
"Nienburg (Weser), Landkreis",3.2,10.5,9.6,4.1,13.6,6,18.7
"Schaumburg, Landkreis",0.9,11.2,10.6,3.9,15.4,7.8,24.6
"Celle, Landkreis",2,14.5,12.1,5,18.3,9.3,30.8
"Cuxhaven, Landkreis",5.2,7.7,6.8,5.9,19.8,7.6,25.7
"Harburg, Landkreis",3.2,8,7.3,7.9,31,12.8,27.3
"Lüchow-Dannenberg, Landkreis",1.6,3.5,3.3,1.3,4.7,2.2,6.5
"Lüneburg, Landkreis",2,9.8,8.9,4.7,20.7,11.3,32.1
"Osterholz, Landkreis",1.4,4.5,4.1,2.9,11.2,4.7,13.7
"Rotenburg (Wümme), Landkreis",4.4,10.3,9.4,6.9,22.7,8.3,28.3
"Heidekreis, Landkreis",2.4,9.5,8.6,4.6,18.2,7.5,28.4
"Stade, Landkreis",5.3,13.3,12.2,7.2,24.9,12.2,25.8
"Uelzen, Landkreis",2.3,4.7,4.5,2.7,11.1,4.3,16.7
"Verden, Landkreis",1.9,11.3,10.8,4.6,18.1,8.6,16.7
"Delmenhorst, Kreisfreie Stadt",0.2,3.7,3.3,1.7,8,7.7,11.6
"Emden, Kreisfreie Stadt",0.2,12.8,12.4,1.5,11.8,6.9,9.6
"Oldenburg (Oldenburg), Kreisfreie Stadt",0.2,7.6,5.6,4.1,29.2,24.1,48.9
"Osnabrück, Kreisfreie Stadt",0.2,15.5,13.6,5.3,33.4,26.1,44.1
"Wilhelmshaven, Kreisfreie Stadt",0.1,4.6,3.6,2,9.5,6,23.4
"Ammerland, Landkreis",4.2,9,8.5,5.2,17.9,5.7,15.5
"Aurich, Landkreis",3.3,10,9.1,7.3,25,11.1,26.3
"Cloppenburg, Landkreis",6.9,20,18.9,8.4,20,9.9,20.2
"Emsland, Landkreis",7.9,40.9,38,16.7,42.6,22.5,50.2
"Friesland, Landkreis",1.6,5.9,5.3,2.7,11.2,6,14
"Grafschaft Bentheim, Landkreis",2.7,13.6,12.1,5.4,19.1,8.8,18.9
"Leer, Landkreis",2.7,7.7,6.7,5.6,21.2,11.9,22.9
"Oldenburg, Landkreis",2.9,8.6,7.9,4.4,13.7,6.5,13.8
"Osnabrück, Landkreis",6.4,40.3,38.4,12.6,42.3,21.9,42.8
"Vechta, Landkreis",6,23.7,22.6,6.9,21.4,10.7,22.8
"Wesermarsch, Landkreis",1.8,11.2,10.2,2.8,9.2,3.6,10.4
"Wittmund, Landkreis",1.7,2.1,1.9,2,8.2,2.5,8
"Bremen, Kreisfreie Stadt",0.3,54.7,50,12.1,101,74.5,108.8
"Bremerhaven, Kreisfreie Stadt",0.1,10,9.1,2.8,21,10.9,23.5
"Düsseldorf, Kreisfreie Stadt",0.9,43.4,37.5,13.4,150,161,145.7
"Duisburg, Kreisfreie Stadt",0.3,41.4,37.4,11.1,58.6,43.4,70
"Essen, Kreisfreie Stadt",0.4,30.2,22.9,15.3,84,87.2,111.6
"Krefeld, Kreisfreie Stadt",0.6,24.6,22.6,4.9,30.8,20.1,37.2
"Mönchengladbach, Kreisfreie Stadt",0.5,18.3,17.8,7.2,36.4,27.4,41.9
"Mülheim an der Ruhr, Kreisfreie Stadt",0.2,15.4,14.2,4.9,22.5,15.7,22.7
"Oberhausen, Kreisfreie Stadt",0.1,14.3,11.2,7.1,24.6,19.6,28.2
"Remscheid, Kreisfreie Stadt",0.1,18.2,17.6,2.7,11.6,10.4,16.1
"Solingen, Kreisfreie Stadt",0.1,19.5,18,3.3,17.2,9.4,22.6
"Wuppertal, Kreisfreie Stadt",0.2,33.3,31.2,6.7,40.9,30.6,58.2
"Kleve, Kreis",8.6,19.6,18.2,9.9,38,21.6,48
"Mettmann, Kreis",1,54.8,52.9,12.5,76.7,40.4,61.4
"Rhein-Kreis Neuss",2.3,37.6,31.2,9.6,65.8,31.2,56.2
"Viersen, Kreis",3.6,23.5,22,8.3,37.4,17.6,37.8
"Wesel, Kreis",3,31.5,27.5,12.4,53,34.2,63.1
"Bonn, Kreisfreie Stadt",0.2,10.6,9.9,4.9,57.5,48.1,114.8
"Köln, Kreisfreie Stadt",0.5,71.6,60.8,21.9,213.4,198.8,227.3
"Leverkusen, Kreisfreie Stadt",0.1,18.2,14.8,3.5,20.7,15.5,23.7
"Städteregion Aachen (einschl. Stadt Aachen)",1.2,48.2,44,13.3,75,50.9,107.4
"Düren, Kreis",2.2,22.1,19.4,7,22.7,26.8,36.4
"Rhein-Erft-Kreis",2,30.6,24,12.2,61.1,31.3,55.6
"Euskirchen, Kreis",1.6,14.2,13.3,5.7,20.8,11.5,27.1
"Heinsberg, Kreis",2.6,16.8,15.4,8.5,27,14.9,33.8
"Oberbergischer Kreis",1.4,41.7,40.2,7.3,27.6,24.3,37.7
"Rheinisch-Bergischer Kreis",0.9,17.4,16.9,7.5,28.8,17.4,40.1
"Rhein-Sieg-Kreis",3.7,34.8,32.4,15.9,62.5,38,79
"Bottrop, Kreisfreie Stadt",0.5,8.5,5,2.7,11.5,6.7,17.4
"Gelsenkirchen, Kreisfreie Stadt",0.1,15,12.3,6.7,25.9,21.9,43.1
